"ensembl_gene_id","external_gene_name","gene_biotype","description","log2FoldChange","padj","baseMean"
"ENSG00000231764","DLX6-AS1","lncRNA","DLX6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:37151]",3.80143547583895,2.35214833301866e-27,207.867265864294
"ENSG00000276805","","transcribed_unprocessed_pseudogene","general transcription factor IIi (GTF2I) pseudogene",4.03093911883158,9.62831254954634e-21,60.2566466567012
"ENSG00000267640","","transcribed_unprocessed_pseudogene","novel zinc finger protein pseudogene",2.30976192680395,2.20151738790758e-20,1063.38595448933
"ENSG00000178162","FAR2P2","transcribed_unprocessed_pseudogene","fatty acyl-CoA reductase 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:49279]",-2.52361878650758,1.45365972021913e-18,190.277123005899
"ENSG00000263146","LINC01896","lncRNA","long intergenic non-protein coding RNA 1896 [Source:HGNC Symbol;Acc:HGNC:52715]",-3.16102469882583,7.5411797520313e-18,116.00251806772
"ENSG00000224078","SNHG14","lncRNA","small nucleolar RNA host gene 14 [Source:HGNC Symbol;Acc:HGNC:37462]",1.46377677057603,2.90894800775917e-17,10555.4983482471
"ENSG00000265179","","lncRNA","novel transcript, antisense to ADCYAP1",-2.65810849830652,1.23015765323018e-16,238.443550262759
"ENSG00000205212","CCDC144NL","transcribed_unprocessed_pseudogene","CCDC144A N-terminal like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33735]",-2.7786769224838,4.33057575906226e-15,124.126936375265
"ENSG00000273748","","protein_coding","",1.91927437937555,7.79177861658766e-15,128.783745391186
"ENSG00000180229","HERC2P3","transcribed_unprocessed_pseudogene","HERC2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:4871]",2.91906155866935,4.77879711334665e-14,69.6394241735246
"ENSG00000224597","SVIL-AS1","transcribed_unprocessed_pseudogene","SVIL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51219]",3.79846253778182,2.46120378883745e-13,51.3035121022661
"ENSG00000188707","ZBED10P","transcribed_unitary_pseudogene","zinc finger BED-type containing 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:21720]",4.08214097069878,9.57962563047491e-13,36.5522602679254
"ENSG00000287069","","lncRNA","novel transcript, antisense to KCNH8",-2.17523292071185,2.19259695113702e-12,122.804043949864
"ENSG00000255085","","transcribed_unprocessed_pseudogene","zinc finger protein 154 (ZNF154) pseudogene",8.98696558395,1.82821422468773e-11,86.0278039431321
"ENSG00000224318","CHL1-AS2","lncRNA","CHL1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40147]",8.68812566546248,1.94841749126332e-10,35.8223415556679
"ENSG00000255366","","lncRNA","novel transcript",1.4930147906613,1.63303416463187e-09,133.201385003699
"ENSG00000233058","ATP13A3-DT","lncRNA","ATP13A3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:48570]",1.56717543271093,2.78698539857855e-09,108.926749495294
"ENSG00000261167","","lncRNA","novel transcript, overlapping to MRPL3",1.77627977039641,3.50878297520403e-09,282.692230123721
"ENSG00000258732","","transcribed_unprocessed_pseudogene","arginine-glutamic acid dipeptide (RE) repeats (RERE) pseudogene",7.92652235795572,5.47569327400177e-09,41.3341035115575
"ENSG00000286449","","lncRNA","novel transcript",7.29312047390985,5.72794621361278e-09,49.3677611763679
"ENSG00000230105","","lncRNA","novel transcript",2.30999163318007,1.31103695594796e-08,53.3299183490099
"ENSG00000262877","","lncRNA","novel transcript",-1.37831317198383,3.11440090101366e-08,368.070246089265
"ENSG00000258175","LINC02300","lncRNA","long intergenic non-protein coding RNA 2300 [Source:HGNC Symbol;Acc:HGNC:53219]",-2.55262235074811,4.71423782212064e-08,52.4505468733162
"ENSG00000261888","","lncRNA","novel transcript",-1.60711521238062,5.09021265858618e-08,89.7166260303275
"ENSG00000250420","AACSP1","transcribed_unprocessed_pseudogene","acetoacetyl-CoA synthetase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:18226]",-2.87310185571394,7.76934193836422e-08,32.9368372141674
"ENSG00000211459","MT-RNR1","Mt_rRNA","mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470]",-1.08568437914336,1.10829134225635e-07,27928.427117591
"ENSG00000235655","H3P6","processed_pseudogene","H3 histone pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:42980]",-1.00890614050321,1.47980964932905e-07,264.826459700279
"ENSG00000225156","","lncRNA","novel transcript",1.62256006403434,1.52762113312514e-07,67.3747965872764
"ENSG00000184208","C22orf46P","transcribed_unitary_pseudogene","chromosome 22 open reading frame 46, pseudogene [Source:HGNC Symbol;Acc:HGNC:26294]",1.72670892437799,2.84269037420958e-07,392.336446549336
"ENSG00000269896","","transcribed_processed_pseudogene","small nuclear ribonucleoprotein N (SNRPN) pseudogene",2.90832006416906,2.85359601901248e-07,66.0456178204978
"ENSG00000276791","","lncRNA","novel transcript",-1.02268684824393,3.79968554188568e-07,311.372800432861
"ENSG00000280088","","TEC","TEC",1.49330624242705,4.46855203115876e-07,124.384148170544
"ENSG00000280234","","TEC","TEC",1.04275990204041,5.47129689247563e-07,268.259736456925
"ENSG00000185495","SEPTIN7P13","transcribed_unprocessed_pseudogene","septin 7 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:55092]",1.04925684287338,6.59521951399893e-07,259.618262420651
"ENSG00000161912","ADCY10P1","transcribed_unprocessed_pseudogene","ADCY10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44143]",-1.39074727075184,8.71527345992809e-07,157.167921437286
"ENSG00000258590","NBEAP1","transcribed_unprocessed_pseudogene","neurobeachin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:1007]",7.3315664540512,1.0471749715764e-06,13.9880058216118
"ENSG00000287625","","lncRNA","novel transcript",-1.68402774882583,1.88091302492516e-06,52.1707929244283
"ENSG00000232611","","lncRNA","novel transcript",-1.43631090631199,3.07550502301425e-06,320.600905505447
"ENSG00000277147","LINC00869","transcribed_unprocessed_pseudogene","long intergenic non-protein coding RNA 869 [Source:HGNC Symbol;Acc:HGNC:29050]",-1.2103125848796,3.78252217437092e-06,156.001114834255
"ENSG00000260000","","lncRNA","novel transcript, antisense to ASCC3",1.4462608550517,3.8328263848528e-06,129.782113387631
"ENSG00000215190","LINC00680","transcribed_unprocessed_pseudogene","long intergenic non-protein coding RNA 680 [Source:HGNC Symbol;Acc:HGNC:44417]",2.73838552257454,3.86014718106832e-06,48.1989240142699
"ENSG00000127589","TUBBP1","transcribed_processed_pseudogene","tubulin beta pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12414]",-1.28264801390418,4.25859398720371e-06,613.711087742792
"ENSG00000232599","","processed_pseudogene","odz, odd Oz\/ten-m homolog 1(Drosophila) (ODZ1) pseudogene",-1.77928424797425,4.83132725884455e-06,41.1197260376929
"ENSG00000267265","GP6-AS1","lncRNA","GP6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55305]",2.02189983107474,4.83132725884455e-06,39.5425837401777
"ENSG00000229337","","lncRNA","novel transcript",-1.88241100156895,5.09733551624153e-06,114.173172174186
